Gene	Mmus_C57-6J_TA_GC_Rep1_M33	Mmus_C57-6J_TA_GC_Rep2_M34	Mmus_C57-6J_TA_GC_Rep3_M35	Mmus_C57-6J_TA_GC_Rep4_M36	Mmus_C57-6J_TA_GC_Rep5_M37	Mmus_C57-6J_TA_GC_Rep6_M38	Mmus_C57-6J_TA_FLT_Rep1_M23	Mmus_C57-6J_TA_FLT_Rep2_M24	Mmus_C57-6J_TA_FLT_Rep3_M25	Mmus_C57-6J_TA_FLT_Rep4_M26	Mmus_C57-6J_TA_FLT_Rep5_M27	Mmus_C57-6J_TA_FLT_Rep6_M28
ENSMUSG00000000001	15.20938439	13.24194835	11.65259035	13.98242984	13.9137054	13.81665813	13.26787257	15.16342867	14.66072758	13.38697621	16.06542618	14.89981128
ENSMUSG00000000028	1.614315513	1.748936574	1.610373512	1.470802578	1.899140824	1.8021728	1.489080275	1.774046458	1.768214217	1.771805675	2.17355766	2.035096175
ENSMUSG00000000031	550.7189893	561.7655662	577.9431499	588.1445348	479.4031168	555.8466302	417.3942206	423.2874849	430.0365644	565.9442628	339.793214	366.8987676
ENSMUSG00000000037	0.205746095	0.178462916	0.108564506	0.058832103	0.079963824	0.070673443	0.050193717	0.149393386	0.085835642	0.082028041	0.113403008	0.054511505
ENSMUSG00000000049	0.174092849	0.446157289	0.235223097	0.176496309	0.259882429	0.265025412	0.16731239	0.112045039	0.223172668	0.131244865	0.359109526	0.109023009
ENSMUSG00000000056	106.1491583	105.3109666	96.93001014	100.1714609	103.0333874	107.8300059	107.2472423	99.96284938	113.3717154	99.23752343	102.4218171	104.771112
ENSMUSG00000000058	20.66956921	18.14967853	13.67912781	18.37522687	17.73197801	20.90167081	13.00017274	15.76100222	14.54055769	18.91566614	17.29395877	16.08089388
ENSMUSG00000000078	51.10416462	50.77269953	42.66585102	39.00568436	43.64025703	51.1322361	44.55528959	44.70597075	50.71169706	31.87609655	36.78037571	36.25015062
ENSMUSG00000000085	31.28923303	28.33991102	27.24969111	28.4355165	27.20769117	27.36829085	28.94504355	27.56307971	31.07250226	28.25045716	28.16174708	29.29084852
ENSMUSG00000000088	191.5021344	204.5898866	208.8600162	203.2060841	193.5924183	208.5926674	206.0786714	210.6073258	213.8680846	232.2870052	224.4623545	214.430089
ENSMUSG00000000093	2.421473269	2.320017905	2.243666466	3.608368991	3.678335911	3.445330353	2.325642228	2.110181577	2.918411814	4.872465607	4.403816825	4.251897366
ENSMUSG00000000094	1.234476569	1.160008952	1.411338583	1.490413279	1.199457362	0.971759843	1.104261777	1.232495434	0.806855031	1.214015	1.171831086	1.362787617
ENSMUSG00000000120	2.421473269	1.856014324	1.465620837	1.882627299	1.659249351	1.819841161	1.355230363	1.774046458	2.025721142	0.721846757	0.94502507	1.017548088
ENSMUSG00000000126	11.45847482	9.529919701	10.16887543	11.82525272	9.155857866	11.37842434	7.462132616	8.739513078	7.622204974	10.77848452	9.733758218	9.921093854
ENSMUSG00000000127	12.13901959	11.51085807	10.16887543	10.68783206	9.775577503	11.16640401	10.12239962	11.46594237	10.40327976	11.05737986	11.07569382	9.812070844
ENSMUSG00000000131	36.575325	37.03105502	34.43304262	37.67215669	35.68385653	36.89153731	31.705698	34.84600727	35.51878849	33.77914709	35.62744513	35.66869457
ENSMUSG00000000134	10.0499054	8.476988498	8.630878259	11.21732099	10.79511626	9.92961876	8.014263504	9.225041583	9.836764527	10.95894621	10.01726574	10.5025499
ENSMUSG00000000142	8.736295717	7.834522002	7.545233195	9.962236126	9.215830734	8.498481536	7.997532265	8.870232291	8.532062775	8.727783512	9.242345181	9.775729841
ENSMUSG00000000148	5.871677013	5.924968803	4.559709269	6.373477837	6.25716924	5.547865286	4.182809762	4.519149925	4.909798699	4.380297364	5.235438886	4.797012413
ENSMUSG00000000149	24.97441058	21.27277956	20.08443369	22.61113829	21.53025965	22.24446623	23.50739086	24.145706	25.37301566	28.06999547	29.97619521	24.00323257
ENSMUSG00000000154	0.079133113	0.107077749	0.108564506	0.117664206	0.039981912	0.070673443	0.117118673	0.168067559	0.10300277	0.229678513	0.075602006	0.072682006
ENSMUSG00000000167	0.142439604	0.267694374	0.199034928	0.078442804	0.179918604	0.176683608	0.150581151	0.242764252	0.085835642	0.131244865	0.113403008	0.109023009
ENSMUSG00000000168	153.3599737	160.116928	168.926372	162.3177725	176.2402684	184.722712	168.1824149	158.8051693	154.3668178	192.0604541	175.5478569	169.8760191
ENSMUSG00000000171	123.0045114	133.5437999	132.702015	130.3719405	138.0575424	148.2198786	134.8203243	129.7481557	129.6633202	147.5520393	148.8036475	137.8959364
ENSMUSG00000000182	0.031653245	0.053538875	0.018094084	0	0.039981912	0.070673443	0.016731239	0	0.051501385	0.016405608	0	0.018170502
ENSMUSG00000000183	6.726314637	4.033261896	4.161639412	7.079463074	5.29760335	4.75278905	8.131382178	7.450995124	8.463394261	5.676340404	6.256065961	5.978095014
ENSMUSG00000000184	18.67541476	12.01055423	12.35825965	13.94320844	12.33441988	19.84156916	11.46089875	15.9103956	14.21438225	20.62184939	14.74239109	14.04579771
ENSMUSG00000000194	38.23712039	36.38858852	33.96259642	35.35809397	34.64432682	35.10703287	35.25272068	37.01221137	36.42864629	35.56735837	41.48660056	35.12357952
ENSMUSG00000000197	0.743851266	0.67815908	0.506634363	0.705985237	0.639710593	0.777407874	0.485205932	0.597573544	0.429178208	0.639818716	0.604816045	0.799502069
ENSMUSG00000000202	0.015826623	0	0.018094084	0.117664206	0	0.035336722	0.066924956	0.037348346	0.034334257	0.065622432	0.018900501	0.018170502
ENSMUSG00000000204	0.094959736	0.071385166	0.108564506	0.19610701	0.079963824	0.176683608	0.18404363	0.317460945	0.137337027	0.459357027	0.283507521	0.199875517
ENSMUSG00000000214	0.205746095	0.23200179	0.597104785	0.37260332	0.159927648	0.282693773	0.133849912	0.130719213	0.274674053	0.196867297	0.151204011	0.163534514
ENSMUSG00000000223	9.385187247	5.88927622	6.351023625	8.491433548	6.776934097	6.342941521	6.876539249	6.386567249	6.094330553	7.87469189	7.805907075	8.01319119
ENSMUSG00000000244	0.395665567	0.178462916	0.108564506	0.56871033	0.339846253	0.22968869	0.384818498	0.280112599	0.20600554	0.393734595	0.113403008	0.23621652
ENSMUSG00000000247	0.110786359	0.089231458	0.108564506	0.352992619	0.059972868	0.053005082	0.150581151	0.130719213	0.10300277	0.114839257	0.075602006	0.145364013
ENSMUSG00000000253	92.25338358	97.15521134	90.52470426	84.50251076	90.63899468	97.91805546	86.76820571	84.33256637	88.25620669	72.18467566	65.0744263	76.24342456
ENSMUSG00000000266	9.274400888	8.459142207	6.930034326	7.96194462	8.056355284	9.328894493	7.261357747	8.422052133	8.600731288	9.055895674	8.939937159	8.194896205
ENSMUSG00000000275	18.37470893	17.89983045	14.81905512	20.55201469	18.81148963	18.41043194	14.25501567	16.60134001	16.5491117	25.55993743	18.14448134	18.5520821
ENSMUSG00000000276	10.46139759	10.52931203	9.499394311	11.78603132	12.35441083	10.53034303	7.462132616	8.571445519	8.137218823	12.5502902	9.639255711	10.26633338
ENSMUSG00000000278	6.488915297	4.925576475	4.813026451	5.824378208	5.777386295	5.706880533	4.249734718	6.461263942	5.459146806	6.49662081	5.575647911	6.268823039
ENSMUSG00000000282	11.53760793	10.97546932	11.30880275	12.68812357	13.99366923	14.70007617	12.56516053	14.77127104	15.29591133	9.285574187	11.92621638	9.430490312
ENSMUSG00000000290	2.294860288	1.374164451	1.320868161	1.921848701	1.279421187	1.554815749	1.572736471	2.315597482	2.386230836	2.460841216	1.455338607	1.50815163
ENSMUSG00000000295	3.386897253	3.497873149	2.822677167	2.765108846	2.418905681	2.862274447	2.927966834	3.230631971	3.193085867	3.018631891	1.946751644	2.90728025
ENSMUSG00000000296	12.21815271	12.01055423	11.41736726	9.707297013	11.87462789	11.29008254	11.32704884	11.22317812	11.639313	10.59802284	11.83171387	10.10279887
ENSMUSG00000000301	0.443145435	0.410464706	0.470446194	0.392214021	0.499773901	0.547719184	0.401549737	0.448180158	0.257506925	0.475762635	0.567015042	0.399751034
ENSMUSG00000000303	0.269052585	0.071385166	0.180940844	0.137274907	0.319855297	0.088341804	0.284431064	0.149393386	0.360509695	0.508573851	0.13230351	0.23621652
ENSMUSG00000000305	11.69587416	2.998176985	6.33292954	2.64744464	4.637901801	3.551340517	3.145472941	3.865553862	3.605096947	1.689777635	1.549841114	1.726197649
