term_id,term_name,source,p_value,gene_count,osd_id
GO:0006950,Stress response,GO:BP,0.0011820416976584633,3,OSD-270
GO:0006281,DNA repair,GO:BP,0.002750639756224873,6,OSD-270
GO:0007049,Cell cycle,GO:BP,0.005362592020632033,8,OSD-270
GO:0006915,Apoptotic process,GO:BP,0.00810360998581816,3,OSD-270
GO:0007267,Cell-cell signaling,GO:BP,0.007198934812821925,11,OSD-270
GO:0006954,Inflammatory response,GO:BP,0.015193981157937844,3,OSD-270
GO:0006091,Generation of precursor metabolites and energy,GO:BP,0.014378928356459894,5,OSD-270
GO:0006351,"Transcription, DNA-templated",GO:BP,0.02034538098348326,9,OSD-270
GO:0006457,Protein folding,GO:BP,0.03160848904819448,12,OSD-270
GO:0006810,Transport,GO:BP,0.043676539227771274,14,OSD-270
GO:0005524,ATP binding,GO:MF,0.002235110296221479,3,OSD-270
GO:0003677,DNA binding,GO:MF,0.005441104050535567,7,OSD-270
GO:0005515,Protein binding,GO:MF,0.012238821446526202,3,OSD-270
GO:0016740,Transferase activity,GO:MF,0.020879476499232368,13,OSD-270
GO:0008233,Peptidase activity,GO:MF,0.019477627201307406,3,OSD-270
GO:0005634,Nucleus,GO:CC,0.004857898759230967,6,OSD-270
GO:0005737,Cytoplasm,GO:CC,0.011359546485710645,13,OSD-270
GO:0005886,Plasma membrane,GO:CC,0.018469772099790043,3,OSD-270
GO:0005829,Cytosol,GO:CC,0.019695779757754505,9,OSD-270
GO:0005739,Mitochondrion,GO:CC,0.025026122505378515,6,OSD-270
KEGG:04010,MAPK signaling pathway,KEGG,0.001061038630938154,9,OSD-270
KEGG:04110,Cell cycle,KEGG,0.005014554006598614,3,OSD-270
KEGG:04210,Apoptosis,KEGG,0.00788020654552036,11,OSD-270
KEGG:04620,Toll-like receptor signaling pathway,KEGG,0.012056699985905805,5,OSD-270
KEGG:04140,Autophagy,KEGG,0.01318688677672574,9,OSD-270
KEGG:00020,Citrate cycle (TCA cycle),KEGG,0.015887612738861648,3,OSD-270
KEGG:00190,Oxidative phosphorylation,KEGG,0.023554949166759924,4,OSD-270
KEGG:03050,Proteasome,KEGG,0.02972266664306161,8,OSD-270
KEGG:04310,Wnt signaling pathway,KEGG,0.02939633779106615,12,OSD-270
KEGG:04630,JAK-STAT signaling pathway,KEGG,0.04465704537852551,13,OSD-270
