Gene	RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8
ENSMUSG00000000001	15.40599307	18.69966665	15.31649842	17.70669138	20.98210819
ENSMUSG00000000028	2.237949234	1.847372896	1.818029749	1.618815636	1.782602507
ENSMUSG00000000031	3.053997021	1.554982941	1.271011948	13.16541212	1.022804717
ENSMUSG00000000037	0.346202091	0.358842217	0.13675445	0.401122459	0.467567871
ENSMUSG00000000049	0.284380289	0.877169864	0.41026335	0.186235427	0.321452911
ENSMUSG00000000056	79.02062736	95.63809609	84.27291881	72.27367154	110.8135853
ENSMUSG00000000058	34.05144856	32.77425583	32.37862717	28.92379442	29.92434372
ENSMUSG00000000078	42.92905933	61.32214777	36.91565716	42.70521603	50.02976216
ENSMUSG00000000085	23.03480344	22.00898932	20.81885394	21.2451645	25.92079383
ENSMUSG00000000088	309.7519569	275.1921092	311.7357913	288.3354187	348.3380636
ENSMUSG00000000093	2.373957198	2.644800045	1.906517923	1.590164032	3.36064407
ENSMUSG00000000094	0.049457442	0.119614072	0	0	0
ENSMUSG00000000120	1.656824295	0.996783936	1.375588881	1.160389969	1.256588652
ENSMUSG00000000126	5.019930325	3.854231221	3.362550598	3.552798918	3.623650997
ENSMUSG00000000127	15.88820312	15.57641031	17.60110217	15.65810168	17.21234224
ENSMUSG00000000131	12.37672477	8.798279546	9.741743478	9.641264806	10.05270922
ENSMUSG00000000134	8.655052285	7.336329772	7.803048038	7.807562139	8.971458517
ENSMUSG00000000142	2.522329523	1.820791991	2.381136308	2.177521918	3.448313046
ENSMUSG00000000148	6.948770549	6.84458303	5.598888077	5.630040221	6.575173181
ENSMUSG00000000149	121.2449182	123.4948845	104.673465	106.1255419	130.5391049
ENSMUSG00000000154	0.556396218	0.305680407	0.506795903	0.27219024	0.61368283
ENSMUSG00000000167	0.210194127	0.225937692	0.225242624	0.27219024	0.321452911
ENSMUSG00000000168	245.4078254	238.2313608	245.8281907	222.436729	315.3160827
ENSMUSG00000000171	299.9346548	279.6709917	306.6517435	273.4938877	288.927721
ENSMUSG00000000183	0.840776508	1.182850271	1.021636186	0.787919115	1.811825499
ENSMUSG00000000184	60.7708314	65.52193076	62.27958547	61.07089431	83.89920978
ENSMUSG00000000194	31.52911904	28.00298339	28.85518898	27.00413694	36.55796288
ENSMUSG00000000197	1.026241914	0.784136697	0.788349183	0.88819973	1.285811644
ENSMUSG00000000204	0.148372325	0.172775882	0.096532553	0.200561229	0.321452911
ENSMUSG00000000214	0	0.345551765	0.152843209	0.07162901	0.409121887
ENSMUSG00000000223	0.506938777	0.398713575	0.571150939	0.386796656	0.14611496
ENSMUSG00000000244	0.210194127	0.172775882	0.128710071	0.186235427	0.029222992
ENSMUSG00000000253	63.25606784	59.48806533	61.98998781	63.54925807	71.5378842
ENSMUSG00000000266	14.87432557	20.81284859	18.3331407	20.21370675	18.99494474
ENSMUSG00000000275	24.08577407	23.35132502	19.4271763	20.88701945	22.73548771
ENSMUSG00000000276	14.91141865	11.69559819	13.42606925	11.10249662	14.84527989
ENSMUSG00000000278	12.0552514	10.6855238	9.178636919	10.68704836	9.760479299
ENSMUSG00000000282	4.611906432	5.927541809	4.102633504	4.598582471	3.243752102
ENSMUSG00000000290	4.908651082	5.050371945	5.703465009	5.544085409	5.815375391
ENSMUSG00000000295	1.582638132	1.169559819	1.576698366	1.504209219	1.98716345
ENSMUSG00000000296	3.882409168	4.731401085	4.456586199	5.930882065	4.500340755
ENSMUSG00000000301	0.890233949	0.691103529	0.772260424	0.530054677	1.052027709
ENSMUSG00000000303	0.222558487	0	0.104576932	0.014325802	0
ENSMUSG00000000305	1.854654061	2.658090497	1.39167764	1.432580209	1.782602507
ENSMUSG00000000308	0.531667497	0.624651267	0.82857108	0.458425667	0.701351806
ENSMUSG00000000317	13.34114488	9.436221265	12.71011948	12.95052509	10.37416213
ENSMUSG00000000318	1.185742163	0.877169864	1.419350305	1.060109355	0.455294214
ENSMUSG00000000320	2.176127432	1.169559819	3.217751768	3.996898783	2.571623288
ENSMUSG00000000326	87.74986581	91.14592315	75.19081444	67.1880118	87.28907685
ENSMUSG00000000339	10.9919164	10.6855238	11.36670812	10.71569996	10.46183111
ENSMUSG00000000340	61.95781	60.81711058	67.52452085	63.13380981	83.63620286
ENSMUSG00000000346	89.02314764	85.15578331	90.00494136	85.41071857	95.19448062
ENSMUSG00000000355	8.160477869	8.107176016	9.122326263	8.29463941	10.69561504
ENSMUSG00000000359	5.712334508	3.482098551	4.834672032	4.039876189	4.325002803
ENSMUSG00000000365	0.049457442	0.039871357	0	0.07162901	0
ENSMUSG00000000374	50.28585377	46.72923094	49.34422336	45.97149891	59.9948024
ENSMUSG00000000378	10.97955204	9.329897645	9.71761034	9.956432452	10.31571615
ENSMUSG00000000384	30.81198613	28.1062502	29.45521924	25.13605235	29.38371837
ENSMUSG00000000385	0.197829767	0	0	0	0
ENSMUSG00000000386	0.321473371	0	0.168931968	0.176350624	0.379898895
ENSMUSG00000000392	2.868531614	3.043513619	3.064908559	2.664599189	2.951522183
ENSMUSG00000000399	292.6273178	257.5423883	299.4842014	257.9933698	322.1542629
ENSMUSG00000000402	0.098914883	0.013290452	0.048266277	0.042977406	0.087668976
ENSMUSG00000000409	1.953568944	0.518327647	0.2735089	1.002806146	0
ENSMUSG00000000416	0.61821802	0.863879412	0.579195318	0.716290104	0.61368283
ENSMUSG00000000420	67.88033863	66.78452374	71.89261888	63.36302264	84.04532474
ENSMUSG00000000439	34.32346449	30.11616533	34.53452085	29.91227476	38.6620183
ENSMUSG00000000440	6.342916889	9.741901672	6.403326019	4.899424315	4.325002803
ENSMUSG00000000441	88.99866621	76.27390682	87.61938065	77.88938596	96.66965725
ENSMUSG00000000486	1.656824295	1.010074389	1.311233846	1.891005876	0.730574798
ENSMUSG00000000489	12.90839226	11.4962414	10.71511339	12.47777362	11.28007488
ENSMUSG00000000530	21.03177705	21.74318027	19.72481834	16.31708858	22.73548771
ENSMUSG00000000531	3.053997021	3.402355836	2.710955865	2.850834616	3.477536038
ENSMUSG00000000532	12.53746145	16.62635606	12.09874665	12.49209942	14.93294887
ENSMUSG00000000538	115.7056847	122.2190011	111.1250573	104.1342554	143.0173224
ENSMUSG00000000552	2.683066208	3.256160859	1.52843209	2.034263897	3.185306119
ENSMUSG00000000555	23.38100553	29.25228592	20.40859059	22.56313829	26.56369965
ENSMUSG00000000561	27.68565761	26.4994345	26.33488491	26.97190388	27.63735237
ENSMUSG00000000562	0.173101046	0.15948543	0.233287003	0.27219024	0.204560943
ENSMUSG00000000563	887.7813548	827.8800945	925.8767786	854.6080158	963.3794707
ENSMUSG00000000567	2.955082137	1.8739538	1.745630334	1.762073657	1.490372588
ENSMUSG00000000568	15.29471382	16.04157615	15.15561083	15.88731452	18.87805278
ENSMUSG00000000579	5.224436846	4.993355903	5.737653622	4.098325462	4.559371198
ENSMUSG00000000581	15.96238929	13.19741932	16.74035357	16.68955943	19.84241151
ENSMUSG00000000594	18.27452468	18.76611891	17.05408437	16.08787575	19.90085749
ENSMUSG00000000600	25.32221011	24.82656524	26.74756157	24.43981837	28.5508631
ENSMUSG00000000605	48.20864123	46.33051737	46.68153378	47.83385318	51.95847962
ENSMUSG00000000627	0.185465406	0.398713575	0.120665691	0.186235427	0
ENSMUSG00000000628	300.8743461	317.4424576	322.8692124	294.0943911	384.5453506
ENSMUSG00000000631	159.215869	161.7182258	139.0390539	136.8973648	184.163295
ENSMUSG00000000632	0.395659533	0.132904525	0.313730797	0.143258021	0.263006927
ENSMUSG00000000673	0.049457442	0.15948543	0.064355035	0.229212833	0
ENSMUSG00000000682	1.186978599	0.970203031	1.367544501	3.996898783	2.220947385
ENSMUSG00000000686	1.335350924	1.767630181	1.319278225	0.658986896	1.139696685
ENSMUSG00000000690	0.037093081	0.132904525	0.016088759	0	0
ENSMUSG00000000693	3.449656554	3.801069411	2.879887832	2.53566697	3.243752102
ENSMUSG00000000708	80.29415648	79.55664858	82.35031213	75.02422554	96.64014203
ENSMUSG00000000711	71.15157747	68.91059743	71.35179525	64.19191355	75.56422803
ENSMUSG00000000730	0.061821802	0.093033167	0.080443794	0.085954813	0
ENSMUSG00000000732	4.055510213	5.116824207	3.523438186	4.283414825	4.325002803
ENSMUSG00000000738	49.59344959	44.05784999	50.96918801	50.0113751	60.55003925
ENSMUSG00000000739	0.346202091	0.345551765	0.337863936	0.243538636	0.263006927
ENSMUSG00000000740	145.8042472	111.5861075	121.6905452	143.3729138	145.5433578
ENSMUSG00000000743	21.09359885	19.4970938	20.91538649	20.75808723	21.88772871
ENSMUSG00000000751	41.92754614	36.0835785	40.28625214	38.79427206	44.91573857
ENSMUSG00000000753	20.48774519	16.8390033	13.65131188	15.01344059	9.994263234
ENSMUSG00000000759	15.8016526	11.42978914	13.59500122	12.3201898	13.70558321
ENSMUSG00000000776	9.335092107	9.994420269	10.57835894	9.970758254	9.731256307
ENSMUSG00000000782	2.089576909	0.744265339	0.233287003	0.988480344	0.789020782
ENSMUSG00000000787	205.3225689	207.1848638	218.0869874	196.378095	244.2457664
ENSMUSG00000000791	0.01236436	0.026580905	0.088488174	0.085954813	0
ENSMUSG00000000792	0.086550523	0.026580905	0.016088759	0.014325802	0.029222992
ENSMUSG00000000794	3.140547543	2.790995022	4.247432334	1.833702667	5.435476496
ENSMUSG00000000804	32.92629176	36.00383578	32.28209461	30.44232944	35.71049612
ENSMUSG00000000805	12.2407168	13.72903742	10.96448915	9.096884327	7.188856011
ENSMUSG00000000811	13.27932308	14.97833995	13.79611071	12.07665116	15.04984084
ENSMUSG00000000817	0.024728721	0.079742715	0.040221897	0	0
ENSMUSG00000000823	13.94699854	13.18412887	12.64576445	11.57524809	13.76402919
ENSMUSG00000000826	50.87934307	50.33094356	52.34477689	47.16054048	65.13804898
ENSMUSG00000000827	41.64316585	36.41583981	39.25657157	38.53640762	45.29563747
ENSMUSG00000000838	9.396172048	7.748998322	7.243641893	8.089207408	9.671641404
ENSMUSG00000000861	3.313648589	3.176418144	2.670733968	3.552798918	3.419090054
ENSMUSG00000000876	22.81224495	25.10566475	19.82135089	21.15920969	22.96927164
ENSMUSG00000000881	2.831438533	2.737833212	3.33037308	3.22330547	3.594428005
ENSMUSG00000000884	2.163763071	1.779724492	2.290073933	2.062915501	3.692325028
ENSMUSG00000000889	7.233150838	2.764414117	6.202216533	3.452518304	6.078382318
ENSMUSG00000000901	5.811249391	4.465592035	5.043825897	4.297740627	4.295779811
ENSMUSG00000000902	11.62249878	9.888096649	11.02884419	10.77300317	14.8160569
ENSMUSG00000000903	0.024728721	0	0.080443794	0.458425667	0
ENSMUSG00000000915	13.97172726	12.04114995	12.36421117	11.6468771	13.17956935
ENSMUSG00000000916	4.611906432	3.389065384	4.480719337	4.240437419	4.149664852
ENSMUSG00000000934	3.907137889	3.654874434	3.829124604	4.140156804	3.535982022
ENSMUSG00000000942	0.197829767	0.05316181	0.096532553	0.057303208	0.701351806
ENSMUSG00000000948	0.942040619	0.894181643	0.844016289	0.731188939	1.665710539
ENSMUSG00000000957	12.93312099	9.861515744	11.18973177	9.755871223	10.69561504
ENSMUSG00000000958	3.128183183	2.232796018	1.761719093	1.776399459	0.555236846
ENSMUSG00000000959	68.65929334	65.26941216	65.52951476	58.13410488	74.78163631
ENSMUSG00000000976	9.594743676	9.210283573	8.73619605	9.455029379	12.56588652
ENSMUSG00000000982	0.024728721	0	0.048266277	0.028651604	0
ENSMUSG00000001014	0.556396218	0.21264724	0.498751524	0.114606417	0.350675903
ENSMUSG00000001016	22.77515187	19.20470384	21.86462326	19.56904565	23.96285337
ENSMUSG00000001017	42.60758596	41.74531126	43.52813704	40.64230053	45.47097542
ENSMUSG00000001018	23.81375814	22.02227977	23.86767374	24.06734751	30.68414151
ENSMUSG00000001020	4.104967655	3.229579954	3.74063643	3.91094397	4.88023965
ENSMUSG00000001025	28.49985074	20.90588176	26.44991953	21.77521918	17.56301814
ENSMUSG00000001027	42.50867108	64.79095587	33.89901488	37.36169185	44.85729259
ENSMUSG00000001029	12.57455453	11.78863135	8.824684224	9.168513337	8.679228598
ENSMUSG00000001034	4.092603295	3.109965882	2.839665935	3.595776325	2.13327841
ENSMUSG00000001036	26.84302644	25.55754013	23.91594002	24.51144738	24.98565809
ENSMUSG00000001039	2.077212548	1.98027742	1.439943916	2.349431543	1.168919677
ENSMUSG00000001052	21.66235943	24.12217126	17.39999269	16.83281746	23.26150156
ENSMUSG00000001053	8.358307635	5.861089546	8.333977079	5.386501586	5.084800593
ENSMUSG00000001054	9.248541584	7.828076514	9.202770057	8.552503848	10.43260811
ENSMUSG00000001056	7.814275777	6.764840315	6.419414777	7.377788076	9.059127493
ENSMUSG00000001062	19.5480538	16.63964651	15.38085345	14.29715049	18.059809
ENSMUSG00000001065	7.196057757	6.499031266	6.459636675	7.735933128	10.22804717
ENSMUSG00000001082	3.560935797	3.309322669	2.694867106	2.363757345	3.156083127
ENSMUSG00000001089	49.11123954	48.98860786	50.31759327	42.11785814	60.63770822
ENSMUSG00000001098	33.24776513	29.30544773	29.80442575	31.33052917	33.22654181
ENSMUSG00000001100	76.68376324	69.2565479	78.2959449	71.08462997	92.08164752
ENSMUSG00000001105	13.34114488	9.888096649	11.35061936	11.51794488	13.76402919
ENSMUSG00000001119	77.02996534	98.42909111	63.85628384	64.48043521	62.21574978
ENSMUSG00000001120	1.471358888	1.727758823	1.230790051	1.446906011	0.847466765
ENSMUSG00000001123	18.42289701	16.78584149	13.98917581	15.19967602	25.95001682
ENSMUSG00000001127	39.91215539	35.15324682	43.27876128	38.96618168	45.41252943
ENSMUSG00000001128	3.091090102	2.844156832	2.759222141	3.280608679	2.220947385
ENSMUSG00000001131	0.890233949	0.996783936	1.25492319	0.730615907	0.818243774
ENSMUSG00000001134	12.57381267	9.808752648	13.18457698	11.54659648	12.59510951
ENSMUSG00000001138	9.11253362	9.6222876	8.157000732	8.595481254	8.24088372
ENSMUSG00000001143	12.50036837	13.44993792	12.22745672	12.27721239	13.76402919
ENSMUSG00000001150	18.81855654	16.63964651	18.21247501	16.63225623	22.26791984
ENSMUSG00000001151	68.31309125	63.82075284	66.32590832	61.48634257	83.72387183
ENSMUSG00000001155	0.024728721	0.05316181	0.13675445	0.286516042	0
ENSMUSG00000001156	3.412563472	4.000426198	4.360053646	4.254763221	4.003549892
ENSMUSG00000001157	3.857680447	3.561841266	3.539526945	3.76768595	6.341389245
ENSMUSG00000001158	23.69011454	21.41091895	24.10900512	24.08167331	28.08329523
ENSMUSG00000001166	0.358566452	0.438584932	0.394174592	0.143258021	0.789020782
ENSMUSG00000001173	13.74916877	12.14747357	11.47128505	13.42327656	12.56588652
ENSMUSG00000001175	126.9077952	131.7482555	130.8820532	134.4046752	166.5126079
ENSMUSG00000001211	149.954963	151.5643201	120.0060522	123.201898	142.1698557
ENSMUSG00000001225	0.5934893	0.491746742	0.563106559	0.085954813	0.350675903
ENSMUSG00000001227	3.598028878	8.213499636	3.459083151	3.76768595	4.383448787
ENSMUSG00000001228	1.718646097	1.023364841	0.627059376	1.131738365	1.022804717
ENSMUSG00000001229	30.39159788	29.31873818	25.84659108	24.85526663	35.18448226
ENSMUSG00000001240	18.89595744	26.99942132	15.65645389	15.90808693	15.90256774
ENSMUSG00000001247	1.100428076	0.863879412	0.474618386	0.487077271	0.730574798
ENSMUSG00000001248	17.24828277	15.69602439	13.2893148	12.76428966	18.73193782
ENSMUSG00000001249	1.53318069	2.03343923	1.085991222	1.676118844	1.607264555
ENSMUSG00000001270	32.49316822	28.52117813	31.203826	34.12406058	32.67130496
ENSMUSG00000001280	41.56897969	48.19118071	43.230495	40.98611978	48.27638264
ENSMUSG00000001281	0.581124939	0.704393982	0.635505974	1.475557615	1.256588652
ENSMUSG00000001285	10.5762266	8.051754829	8.605635772	9.091297264	10.0573849
ENSMUSG00000001288	9.681294199	8.971055428	9.033838089	8.853345691	11.63075078
ENSMUSG00000001289	75.2077059	62.4009338	78.65166736	75.15874483	85.03423079
ENSMUSG00000001300	15.90056748	18.31424353	15.84742746	13.89602803	14.90372588
ENSMUSG00000001305	4.871558	4.159911628	4.85076079	5.157288752	6.692065148
ENSMUSG00000001313	2.163763071	1.953696515	2.260470617	2.478363762	1.578041563
ENSMUSG00000001323	19.04111503	17.49023547	16.49902219	16.40304339	20.77754725
ENSMUSG00000001333	19.60987561	16.65293696	18.91233602	17.34854633	20.98210819
ENSMUSG00000001334	266.0192142	226.6420862	246.1821434	227.8948596	308.8285785
ENSMUSG00000001348	0.395659533	0.717684434	0.860748598	0.229212833	0.175337951
ENSMUSG00000001349	1.595002492	2.4055719	0.941192392	1.088760959	1.870271482
ENSMUSG00000001366	17.09991044	13.66258516	17.25519386	13.06513151	15.83886162
ENSMUSG00000001376	16.82789451	16.8655842	16.82884175	16.84714326	18.58582286
ENSMUSG00000001380	28.6358587	26.95303764	27.89790783	29.06705244	32.37907504
ENSMUSG00000001383	27.34996522	21.23814307	29.49069495	27.36228199	26.88515256
ENSMUSG00000001403	1.372444005	0.531618099	0.635505974	1.074435157	1.344257628
ENSMUSG00000001415	48.61666512	47.10136361	52.32064375	45.9285215	61.16372208
ENSMUSG00000001416	73.55558006	69.30970971	74.51508657	69.12199508	86.32471811
ENSMUSG00000001418	21.48925839	21.54382348	20.13508169	18.99601357	20.98210819
ENSMUSG00000001419	88.25680458	92.54142066	69.94587906	76.67169278	90.73738989
ENSMUSG00000001420	0.234922848	0.225937692	0.345908315	0.171909625	0.175337951
ENSMUSG00000001424	62.30401209	58.90328542	63.22882224	60.25432359	84.16221671
ENSMUSG00000001435	8.964161295	10.39313384	6.765323092	7.893516951	8.09476876
ENSMUSG00000001436	2.608880046	2.312538733	2.196115582	2.277802532	2.483954313
