id,status,samples,genes,degs,up,down,pc1,conditions
OSD-457,success,192,34792,12924,5129,7795,39.533846786933594,"['Nrf2KO...Space.Flight...Temporal.Bone', 'Nrf2KO...Ground.control...Temporal.Bone', 'Wild.Type...Space.Flight...Temporal.Bone', 'Wild.Type...Ground.control...Temporal.Bone', 'Wild.Type...Space.Flight...Mandibular.bone', 'Nrf2KO...Space.Flight...Mandibular.bone', 'Wild.Type...Ground.control...Mandibular.bone', 'Nrf2KO...Ground.control...Mandibular.bone', 'Nrf2KO...Space.Flight...spleen', 'Wild.Type...Space.Flight...spleen', 'Nrf2KO...Ground.control...spleen', 'Wild.Type...Ground.control...spleen', 'Nrf2KO...Space.Flight...Liver', 'Wild.Type...Space.Flight...Liver', 'Nrf2KO...Ground.control...Liver', 'Wild.Type...Ground.control...Liver', 'Nrf2KO...Ground.control...white.adipose.tissue', 'Wild.Type...Ground.control...white.adipose.tissue', 'Nrf2KO...Space.Flight...white.adipose.tissue', 'Wild.Type...Space.Flight...white.adipose.tissue', 'Nrf2KO...Ground.control...brown.adipose.tissue', 'Wild.Type...Ground.control...brown.adipose.tissue', 'Nrf2KO...Space.Flight...brown.adipose.tissue', 'Wild.Type...Space.Flight...brown.adipose.tissue', 'Nrf2KO...Space.Flight...thymus', 'Wild.Type...Space.Flight...thymus', 'Nrf2KO...Ground.control...thymus', 'Wild.Type...Ground.control...thymus', 'Nrf2KO...Ground.control...Kidney', 'Wild.Type...Ground.control...Kidney', 'Nrf2KO...Space.Flight...Kidney', 'Wild.Type...Space.Flight...Kidney', 'Nrf2KO...Ground.control...Cerebrum', 'Wild.Type...Ground.control...Cerebrum', 'Nrf2KO...Space.Flight...Cerebrum', 'Wild.Type...Space.Flight...Cerebrum']"
OSD-513,success,27,25172,808,265,543,36.476996581464405,"['Space.Flight', 'Ground.Control', 'Vivarium.Control']"
OSD-194-RNA,success,8,25367,271,51,220,34.026515742280175,"['Ground.Control', 'Space.Flight']"
OSD-105,success,12,22335,108,20,88,29.566411581008158,"['Ground.Control', 'Space.Flight']"
OSD-103,success,12,22495,69,13,56,33.85458519998845,"['Space.Flight', 'Ground.Control']"
OSD-270,success,5,20152,51,21,30,38.01966698206097,"['Space.Flight...space.radiation', 'Ground.Control...non.irradiated']"
OSD-101,success,12,22832,34,20,14,28.755504453113286,"['Ground.Control', 'Space.Flight']"
OSD-288,success,9,20947,30,23,7,40.527428710577055,"['Space.Flight...1G.by.centrifugation', 'Ground.Control...1G', 'Space.Flight...uG']"
OSD-102,success,12,24278,22,6,16,27.387906879576406,"['Space.Flight', 'Ground.Control']"
OSD-397,success,10,24119,20,5,15,34.60375884559378,"['Space.Flight', 'Ground.Control']"
OSD-420,success,20,22209,19,10,9,25.68147219989274,"['Space.Flight', 'Ground.Control']"
OSD-100,success,12,26712,14,7,7,54.419512257348515,"['Ground.Control', 'Space.Flight']"
OSD-162,success,10,27915,13,8,5,39.579981946288314,"['Space.Flight', 'Ground.Control']"
