ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000000001,0.0697834747848869,0.693456132263078,Not Significant
ENSMUSG00000000028,0.0695170757677474,0.897972813612704,Not Significant
ENSMUSG00000000031,0.237126095407084,0.594322260090329,Not Significant
ENSMUSG00000000037,-0.0874900929947138,0.890519559857237,Not Significant
ENSMUSG00000000056,0.0801445037731537,0.669363524893045,Not Significant
ENSMUSG00000000058,0.0343593753375563,0.932775472767456,Not Significant
ENSMUSG00000000078,0.211489371078601,0.0019879625708658,Significant
ENSMUSG00000000085,-0.0823839432909811,0.715479673628574,Not Significant
ENSMUSG00000000088,0.283831859234668,0.181534242463989,Not Significant
ENSMUSG00000000093,-0.140725188046964,0.407466615952554,Not Significant
ENSMUSG00000000120,0.127159096010811,0.666762484198207,Not Significant
ENSMUSG00000000126,-0.0911163686111893,0.728007212799441,Not Significant
ENSMUSG00000000127,-0.100941583439566,0.299706450496843,Not Significant
ENSMUSG00000000131,-0.0587496176585413,0.724706234330444,Not Significant
ENSMUSG00000000134,0.0185405092208142,0.933270754867736,Not Significant
ENSMUSG00000000142,0.139170421296664,0.554146669328015,Not Significant
ENSMUSG00000000148,0.0012232630137479,0.99671448670131,Not Significant
ENSMUSG00000000149,0.105681647169265,0.646909544105303,Not Significant
ENSMUSG00000000154,0.0800963450415301,0.82276415758199,Not Significant
ENSMUSG00000000167,-0.107507324668358,0.846762356866386,Not Significant
ENSMUSG00000000168,0.35589398591039,0.0078010607629767,Significant
ENSMUSG00000000171,0.20657027889859,0.168195506116392,Not Significant
ENSMUSG00000000184,0.300121615881549,0.040227744456189,Significant
ENSMUSG00000000194,-0.0466472210235035,0.821965403042399,Not Significant
ENSMUSG00000000197,-0.115159503066904,0.56792887386269,Not Significant
ENSMUSG00000000202,0.329481716714448,0.554787429431214,Not Significant
ENSMUSG00000000214,-0.0116184968338797,0.989984732676602,Not Significant
ENSMUSG00000000223,0.177818487643188,0.336210144976519,Not Significant
ENSMUSG00000000247,-0.019019297058023,0.958350509188547,Not Significant
ENSMUSG00000000248,-0.120716893050421,0.884699265686398,Not Significant
ENSMUSG00000000253,0.297489693301346,0.179376494783771,Not Significant
ENSMUSG00000000263,-0.283030100457118,0.119841338640268,Not Significant
ENSMUSG00000000266,-0.0102150821047482,0.963414989826337,Not Significant
ENSMUSG00000000275,-0.182347055177734,0.358833589162855,Not Significant
ENSMUSG00000000276,-0.0262034177078994,0.926072770411911,Not Significant
ENSMUSG00000000278,0.107839278857627,0.67419265272474,Not Significant
ENSMUSG00000000282,-0.0147016801553788,0.960027252502024,Not Significant
ENSMUSG00000000290,-0.13396819877141,0.804971986552527,Not Significant
ENSMUSG00000000295,0.167486785302765,0.683176965247055,Not Significant
ENSMUSG00000000296,0.224605164733609,0.484787817767378,Not Significant
ENSMUSG00000000301,0.143928954953939,0.896661410841574,Not Significant
ENSMUSG00000000303,0.18717966678559,0.574473261601972,Not Significant
ENSMUSG00000000305,-0.128534531944431,0.608256316080219,Not Significant
ENSMUSG00000000308,-0.0381141262828017,0.893665199181227,Not Significant
ENSMUSG00000000317,0.557436934536251,0.232928475291603,Not Significant
ENSMUSG00000000318,0.194317467862145,0.869688376347459,Not Significant
ENSMUSG00000000320,0.279765305325833,0.538855466522568,Not Significant
ENSMUSG00000000325,0.069095539904307,0.893853533875485,Not Significant
ENSMUSG00000000326,0.125646314185213,0.361538977499421,Not Significant
ENSMUSG00000000339,0.0389804700102029,0.888374409324453,Not Significant
ENSMUSG00000000340,0.384057466465551,0.289539298878382,Not Significant
ENSMUSG00000000346,0.063641542397872,0.649994301855399,Not Significant
ENSMUSG00000000355,-0.0987663275349506,0.731508457968344,Not Significant
ENSMUSG00000000359,-0.225013740798514,0.753086305576791,Not Significant
ENSMUSG00000000365,0.346531236621828,0.690108084460662,Not Significant
ENSMUSG00000000374,0.0167596485132685,0.947740200787631,Not Significant
ENSMUSG00000000378,0.0114059697400313,0.974682453552822,Not Significant
ENSMUSG00000000384,0.0047515936179885,0.991801083045947,Not Significant
ENSMUSG00000000385,0.0493630493548941,0.920270900381918,Not Significant
ENSMUSG00000000386,-0.333830447842355,0.884699265686398,Not Significant
ENSMUSG00000000392,-0.0937366187950869,0.65694887522896,Not Significant
ENSMUSG00000000399,0.293360628345596,0.0230197385587836,Significant
ENSMUSG00000000402,0.419505077684687,0.332403646448401,Not Significant
ENSMUSG00000000416,-0.211111588216897,0.205968572054473,Not Significant
ENSMUSG00000000420,-0.0007184155625054,0.99671448670131,Not Significant
ENSMUSG00000000439,-0.0883057054288182,0.79837291279979,Not Significant
ENSMUSG00000000440,0.756095642066438,0.522825977148139,Not Significant
ENSMUSG00000000441,0.0273058537154247,0.920605254122198,Not Significant
ENSMUSG00000000486,-0.0527369777894502,0.951685748184643,Not Significant
ENSMUSG00000000489,0.117609504327132,0.702739268004535,Not Significant
ENSMUSG00000000530,0.0246513785288924,0.96404945676302,Not Significant
ENSMUSG00000000531,0.153867920570224,0.653772537000978,Not Significant
ENSMUSG00000000532,0.0296826976991563,0.837782525727361,Not Significant
ENSMUSG00000000538,0.0062704424337382,0.980437773166555,Not Significant
ENSMUSG00000000552,-0.0948676420546914,0.731621655463832,Not Significant
ENSMUSG00000000555,0.18521699309688,0.622018632461581,Not Significant
ENSMUSG00000000560,-0.43030328019797,0.0745006902807044,Not Significant
ENSMUSG00000000561,0.0041945423017972,0.989271866622718,Not Significant
ENSMUSG00000000563,0.157676223498364,0.248062661064608,Not Significant
ENSMUSG00000000567,0.19249744901623,0.450495346823159,Not Significant
ENSMUSG00000000568,-0.0286079408443076,0.908957130376296,Not Significant
ENSMUSG00000000579,-0.238204427291187,0.642388290332717,Not Significant
ENSMUSG00000000581,0.0839111192172611,0.793073135937604,Not Significant
ENSMUSG00000000594,0.107956642284927,0.665440457600463,Not Significant
ENSMUSG00000000600,-0.108518047054738,0.378598133636426,Not Significant
ENSMUSG00000000605,-0.0139353028924546,0.937234730736202,Not Significant
ENSMUSG00000000617,-0.231116874558961,0.0780175952129075,Not Significant
ENSMUSG00000000627,0.0523552921790277,0.930830774118917,Not Significant
ENSMUSG00000000628,0.0175732365544576,0.960296530366138,Not Significant
ENSMUSG00000000631,0.100729499146867,0.410167236407311,Not Significant
ENSMUSG00000000632,-0.11627687469337,0.682868366709556,Not Significant
ENSMUSG00000000682,-0.180401396585068,0.757667982589787,Not Significant
ENSMUSG00000000686,0.236205114411234,0.794178805439684,Not Significant
ENSMUSG00000000693,-0.126867253613416,0.741110124358332,Not Significant
ENSMUSG00000000708,0.060196521135608,0.776099327530395,Not Significant
ENSMUSG00000000711,0.0295101881099748,0.851976883680334,Not Significant
ENSMUSG00000000724,0.188102436725827,0.742816950910692,Not Significant
ENSMUSG00000000732,0.0915361958355323,0.724706234330444,Not Significant
ENSMUSG00000000738,0.148274604917996,0.207895704021239,Not Significant
ENSMUSG00000000739,0.237314677151586,0.883814107676702,Not Significant
ENSMUSG00000000740,0.202413574797734,0.131623916047174,Not Significant
ENSMUSG00000000743,0.0381166590905053,0.853100822879351,Not Significant
ENSMUSG00000000751,0.0395898565038262,0.923730230488422,Not Significant
ENSMUSG00000000753,0.0835733291640579,0.943267964335524,Not Significant
ENSMUSG00000000759,-0.0266673817961424,0.934951917936984,Not Significant
ENSMUSG00000000766,-0.300933350239762,0.594048414071809,Not Significant
ENSMUSG00000000776,0.102905857514913,0.642388290332717,Not Significant
ENSMUSG00000000782,0.0028289504477934,0.99671448670131,Not Significant
ENSMUSG00000000787,0.0001973850528378,0.998710407479383,Not Significant
ENSMUSG00000000792,0.051954507136321,0.893609885139813,Not Significant
ENSMUSG00000000794,0.235850784611398,0.254047700640543,Not Significant
ENSMUSG00000000804,-0.0609514050399558,0.702739268004535,Not Significant
