ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000000001,-0.186967398453457,0.22302065769732937,1.0,Not Significant
ENSMUSG00000000028,-0.08355012429301456,0.460323588030612,1.0,Not Significant
ENSMUSG00000000031,0.17527044965891103,0.8872102808465812,1.0,Not Significant
ENSMUSG00000000037,0.005294206102713805,0.9632795517370705,1.0,Not Significant
ENSMUSG00000000049,0.21118718270638365,0.28823879552102316,1.0,Not Significant
ENSMUSG00000000056,0.10089345126868388,0.22717217849903806,1.0,Not Significant
ENSMUSG00000000058,0.15670683424757925,0.3542059311314232,1.0,Not Significant
ENSMUSG00000000078,-0.16289833117669517,0.16551614234162332,1.0,Not Significant
ENSMUSG00000000085,0.124613305378654,0.2501614346830505,1.0,Not Significant
ENSMUSG00000000088,-0.059393217348330474,0.7893268533890471,1.0,Not Significant
ENSMUSG00000000093,0.45269577436122965,0.304412856926112,1.0,Not Significant
ENSMUSG00000000094,0.3188154544570123,0.2739787000928347,1.0,Not Significant
ENSMUSG00000000120,-0.12020738312491697,0.5427385972329127,1.0,Not Significant
ENSMUSG00000000125,-0.021702390787469293,0.27746880940234836,1.0,Not Significant
ENSMUSG00000000126,0.22419349606470362,0.2829672914098327,1.0,Not Significant
ENSMUSG00000000127,-0.02475792544734201,0.8693017738558407,1.0,Not Significant
ENSMUSG00000000131,0.06500923241013012,0.6078512862862825,1.0,Not Significant
ENSMUSG00000000134,0.09560289228497698,0.6902254137104382,1.0,Not Significant
ENSMUSG00000000142,0.20360579306778792,0.48918040564839516,1.0,Not Significant
ENSMUSG00000000148,0.11576849117343535,0.6624254710454619,1.0,Not Significant
ENSMUSG00000000149,0.29858468128128024,0.458032801979264,1.0,Not Significant
ENSMUSG00000000154,0.13593870139681252,0.6951940430725418,1.0,Not Significant
ENSMUSG00000000157,-0.33704651985605194,0.004881778402591122,0.9820612590262527,Not Significant
ENSMUSG00000000159,0.1679396715131629,0.2699565902729839,1.0,Not Significant
ENSMUSG00000000167,0.384607077626165,0.00211362750980398,0.8692961918990143,Not Significant
ENSMUSG00000000168,0.023877746480077455,0.848983178529889,1.0,Not Significant
ENSMUSG00000000171,0.025206620999354,0.8756261835015651,1.0,Not Significant
ENSMUSG00000000182,-0.030041425134973605,0.4440943769348604,1.0,Not Significant
ENSMUSG00000000183,-0.07538926287134995,0.5679252312277051,1.0,Not Significant
ENSMUSG00000000184,-0.10322748161521833,0.5077371253789726,1.0,Not Significant
ENSMUSG00000000194,0.06536223679993913,0.7382193147700826,1.0,Not Significant
ENSMUSG00000000197,0.00181305377597063,0.9857403910189191,1.0,Not Significant
ENSMUSG00000000202,0.041745296413245966,0.06492058719744134,1.0,Not Significant
ENSMUSG00000000204,-0.26689519254532224,0.3963706928355881,1.0,Not Significant
ENSMUSG00000000214,0.012568443774642066,0.5618552167774233,1.0,Not Significant
ENSMUSG00000000215,-0.002683541690558379,0.7307546795251927,1.0,Not Significant
ENSMUSG00000000216,0.23659540724712436,0.3769830929789624,1.0,Not Significant
ENSMUSG00000000223,-0.12596752287955204,0.5874267982083886,1.0,Not Significant
ENSMUSG00000000244,-0.27073703930746973,0.2926624338698709,1.0,Not Significant
ENSMUSG00000000247,0.007477012609815922,0.37264628622683693,1.0,Not Significant
ENSMUSG00000000248,-0.5449971766051938,0.06309421008631702,1.0,Not Significant
ENSMUSG00000000253,0.4194057562038278,0.1575466310436161,1.0,Not Significant
ENSMUSG00000000266,0.2423173975690398,0.0812852935376076,1.0,Not Significant
ENSMUSG00000000275,0.05629011341720869,0.6341472254267442,1.0,Not Significant
ENSMUSG00000000276,0.207307696382669,0.07891838814973341,1.0,Not Significant
ENSMUSG00000000278,-0.06591703636326418,0.6908841640174167,1.0,Not Significant
ENSMUSG00000000282,0.10909212924285239,0.7215157250684696,1.0,Not Significant
ENSMUSG00000000290,-0.10840359811830069,0.6992676877905732,1.0,Not Significant
ENSMUSG00000000295,0.005368684809279767,0.9620035777750172,1.0,Not Significant
