ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000000001,0.152197598999909,0.343335649194456,Not Significant
ENSMUSG00000000028,-0.020961182833895,0.98923481303043,Not Significant
ENSMUSG00000000031,0.129891107985975,0.959693662868811,Not Significant
ENSMUSG00000000049,0.729950847780233,0.896275048733385,Not Significant
ENSMUSG00000000056,-0.0619337934678096,0.909735809261132,Not Significant
ENSMUSG00000000058,0.106222693085093,0.925275878811744,Not Significant
ENSMUSG00000000078,0.490277755007209,0.0004159798519615,Significant
ENSMUSG00000000085,0.112600509603018,0.721261534639165,Not Significant
ENSMUSG00000000088,-0.141989497919695,0.785654148428121,Not Significant
ENSMUSG00000000093,-0.002361967404499,0.999671907529895,Not Significant
ENSMUSG00000000094,0.163766626999439,0.867727789551013,Not Significant
ENSMUSG00000000120,-0.0253111692784497,0.994776034448824,Not Significant
ENSMUSG00000000126,-0.161304452177818,0.473593859415169,Not Significant
ENSMUSG00000000127,0.0138076198071071,0.983526532822399,Not Significant
ENSMUSG00000000131,0.0352165262719022,0.979810674753586,Not Significant
ENSMUSG00000000134,0.213456632632531,0.394388682516846,Not Significant
ENSMUSG00000000142,-0.291353410457759,0.483547626607436,Not Significant
ENSMUSG00000000148,0.0759182950317332,0.900203465275748,Not Significant
ENSMUSG00000000149,-0.234176586368349,0.170101633764876,Not Significant
ENSMUSG00000000154,-0.257474981532369,0.93234446492941,Not Significant
ENSMUSG00000000168,-0.0473640447644281,0.969157335545149,Not Significant
ENSMUSG00000000171,-0.0430462492438742,0.960102395266162,Not Significant
ENSMUSG00000000183,-0.39677697147503,0.583816826166916,Not Significant
ENSMUSG00000000184,-0.327414914792735,0.927023533560427,Not Significant
ENSMUSG00000000194,0.0947989730664715,0.780049864771681,Not Significant
ENSMUSG00000000197,-0.0793590972493393,0.974082394946399,Not Significant
ENSMUSG00000000223,0.231915698727728,0.948764348832047,Not Significant
ENSMUSG00000000253,0.145949742994907,0.738539333450668,Not Significant
ENSMUSG00000000266,-0.155589942048367,0.785654148428121,Not Significant
ENSMUSG00000000275,-0.0386449389507902,0.969703590726138,Not Significant
ENSMUSG00000000276,-0.127141361569868,0.898300088294453,Not Significant
ENSMUSG00000000278,-0.0491365339428306,0.954307926730781,Not Significant
ENSMUSG00000000282,0.372563193235739,0.467834599739885,Not Significant
ENSMUSG00000000290,-0.115418009531869,0.944007578957105,Not Significant
ENSMUSG00000000295,-0.14889501894074,0.883793305239086,Not Significant
ENSMUSG00000000296,-0.056908812537219,0.944094271701353,Not Significant
ENSMUSG00000000301,0.0119269787177028,0.997594878979922,Not Significant
ENSMUSG00000000303,0.148417889878089,0.960631287407128,Not Significant
ENSMUSG00000000305,0.439810187535177,0.778233941847646,Not Significant
ENSMUSG00000000317,0.869048854429527,0.0086734166862273,Significant
ENSMUSG00000000318,0.39532211539856,0.674415987384589,Not Significant
ENSMUSG00000000320,-0.431308303399644,0.834380464320595,Not Significant
ENSMUSG00000000325,0.149702422628536,0.777491421408544,Not Significant
ENSMUSG00000000326,-0.0492188453396656,0.923143382324165,Not Significant
ENSMUSG00000000339,-0.0440261202506719,0.948613900030252,Not Significant
ENSMUSG00000000340,-0.0684172462775908,0.909735809261132,Not Significant
ENSMUSG00000000346,0.105476253802641,0.731662808369931,Not Significant
ENSMUSG00000000355,0.0347566566822615,0.962588473748943,Not Significant
ENSMUSG00000000359,0.268252272892963,0.797292932400673,Not Significant
ENSMUSG00000000374,-0.0502319723589709,0.904465715136183,Not Significant
ENSMUSG00000000378,0.0984930460994645,0.777491421408544,Not Significant
ENSMUSG00000000384,-0.0106355087855268,0.988735958930084,Not Significant
ENSMUSG00000000392,0.0146629962788826,0.993172972346216,Not Significant
ENSMUSG00000000399,-0.081755660303844,0.91943795098571,Not Significant
ENSMUSG00000000402,-0.188084517960193,0.954307926730781,Not Significant
ENSMUSG00000000416,-0.256149045260861,0.727539918627335,Not Significant
ENSMUSG00000000420,-0.0390463040232793,0.932993562073794,Not Significant
ENSMUSG00000000435,-0.138897709301294,0.955291382890515,Not Significant
ENSMUSG00000000439,0.0227858807823222,0.9808532734469,Not Significant
ENSMUSG00000000440,0.283097692257937,0.838861315886045,Not Significant
ENSMUSG00000000441,-0.115516289840955,0.369220351861422,Not Significant
ENSMUSG00000000489,-0.124195404410379,0.803655786274591,Not Significant
ENSMUSG00000000530,0.12212155878491,0.814543549544521,Not Significant
ENSMUSG00000000531,0.013832311052113,0.993172972346216,Not Significant
ENSMUSG00000000532,0.132160292874233,0.860308752016137,Not Significant
ENSMUSG00000000538,0.0796758586598483,0.61666675060633,Not Significant
ENSMUSG00000000552,0.224576500286438,0.810226670186672,Not Significant
ENSMUSG00000000555,0.0933410830055834,0.93234446492941,Not Significant
ENSMUSG00000000561,0.176400656852526,0.176772850025575,Not Significant
ENSMUSG00000000563,-0.0537503178953985,0.932993562073794,Not Significant
ENSMUSG00000000567,0.194268898226217,0.912914555882147,Not Significant
ENSMUSG00000000568,-0.0129787840315593,0.986881018229639,Not Significant
ENSMUSG00000000579,0.127100677784615,0.94712155178802,Not Significant
ENSMUSG00000000581,0.103193662761262,0.861749633001326,Not Significant
ENSMUSG00000000594,-0.0262614327557346,0.969157335545149,Not Significant
ENSMUSG00000000600,0.08911430269916,0.775375051626229,Not Significant
ENSMUSG00000000605,-0.103465917064534,0.688243622069406,Not Significant
ENSMUSG00000000628,-0.128166883438263,0.860540850390721,Not Significant
ENSMUSG00000000631,-0.110767102992981,0.689812976674522,Not Significant
ENSMUSG00000000673,0.863025686532821,0.888278919000719,Not Significant
ENSMUSG00000000686,0.189625115613327,0.932993562073794,Not Significant
ENSMUSG00000000690,0.503087430880243,0.677906600539628,Not Significant
ENSMUSG00000000693,0.0062189027265014,0.998826499204967,Not Significant
ENSMUSG00000000708,0.0097220977567565,0.988052283501773,Not Significant
ENSMUSG00000000711,0.0368842810234755,0.948297773907842,Not Significant
ENSMUSG00000000724,-0.385086395480299,0.800139945593974,Not Significant
ENSMUSG00000000732,0.204798220514336,0.865226610827553,Not Significant
ENSMUSG00000000738,0.0846914916358433,0.869388517066524,Not Significant
ENSMUSG00000000739,0.238287061650299,0.857312820369446,Not Significant
ENSMUSG00000000740,-0.113717341462583,0.7755998822213,Not Significant
ENSMUSG00000000743,-0.0163249804911254,0.984914930904476,Not Significant
ENSMUSG00000000751,0.186051641809554,0.24908169858607,Not Significant
ENSMUSG00000000753,-0.299393289473593,0.688609414333867,Not Significant
ENSMUSG00000000759,0.0176577074303446,0.98269504294537,Not Significant
ENSMUSG00000000776,0.090905318915302,0.857312820369446,Not Significant
ENSMUSG00000000787,-0.0636029763820379,0.850038026184646,Not Significant
ENSMUSG00000000794,-0.0107386777071143,0.997122664114771,Not Significant
ENSMUSG00000000804,0.0806567160967934,0.872877703849935,Not Significant
ENSMUSG00000000805,-0.731317148830949,0.509787922727378,Not Significant
ENSMUSG00000000811,-0.158848553589887,0.799831242852829,Not Significant
ENSMUSG00000000823,-0.0040038473086862,0.996283070931198,Not Significant
ENSMUSG00000000826,-0.0339630403503542,0.9333689468908,Not Significant
ENSMUSG00000000827,0.0522506990569582,0.941202042838379,Not Significant
ENSMUSG00000000838,0.287974421212611,0.3440331577838,Not Significant
ENSMUSG00000000876,0.173196948088601,0.724609828409005,Not Significant
ENSMUSG00000000881,-0.0337918223051421,0.987043087312258,Not Significant
ENSMUSG00000000884,-0.167530467722729,0.934828218884845,Not Significant
ENSMUSG00000000901,0.440703778200119,0.739402663331942,Not Significant
ENSMUSG00000000902,-0.166662773308584,0.610077284679558,Not Significant
ENSMUSG00000000915,0.136641811385393,0.874692992959702,Not Significant
ENSMUSG00000000916,0.0505427361620704,0.96908277607591,Not Significant
ENSMUSG00000000934,-0.0103072786999473,0.992284945183623,Not Significant
ENSMUSG00000000938,-0.206702209046495,0.366308545256436,Not Significant
ENSMUSG00000000942,0.0114008151500803,0.993703104555722,Not Significant
ENSMUSG00000000948,0.298467059569248,0.516426245364549,Not Significant
ENSMUSG00000000957,-0.140907565946045,0.870170104652219,Not Significant
ENSMUSG00000000958,-0.0496224309108272,0.983528718039862,Not Significant
ENSMUSG00000000959,0.0012044256440119,0.999356808954117,Not Significant
ENSMUSG00000000976,-0.0110042028699934,0.99205276419467,Not Significant
ENSMUSG00000001016,0.0158168563227255,0.981064635050521,Not Significant
ENSMUSG00000001017,0.0200783809936335,0.967339944958206,Not Significant
ENSMUSG00000001018,-0.0414372360910163,0.948297773907842,Not Significant
ENSMUSG00000001020,-0.032024819855768,0.984914930904476,Not Significant
ENSMUSG00000001025,0.0222214162139621,0.984762026022766,Not Significant
ENSMUSG00000001027,0.0403726433637513,0.960487598660458,Not Significant
ENSMUSG00000001029,0.160604561057074,0.88641713994767,Not Significant
ENSMUSG00000001034,0.123674751965127,0.876652289356054,Not Significant
ENSMUSG00000001036,0.0591412407138333,0.907851506325862,Not Significant
ENSMUSG00000001039,0.252500699913823,0.824036989522166,Not Significant
ENSMUSG00000001052,0.113567112264216,0.579234243505278,Not Significant
ENSMUSG00000001053,-0.233282365468882,0.868890364675592,Not Significant
ENSMUSG00000001054,0.0654319873394503,0.932993562073794,Not Significant
ENSMUSG00000001056,-0.0658466417696893,0.9343127803643,Not Significant
ENSMUSG00000001062,0.0906280241830624,0.840900934204962,Not Significant
ENSMUSG00000001065,0.135737410948776,0.814543549544521,Not Significant
ENSMUSG00000001082,-0.933338353630948,0.702615815646349,Not Significant
ENSMUSG00000001089,-0.0117473289317103,0.992509407430911,Not Significant
ENSMUSG00000001098,0.0597626279217775,0.948297773907842,Not Significant
ENSMUSG00000001100,-0.0056201704717638,0.993703104555722,Not Significant
ENSMUSG00000001105,-0.164391979554917,0.577511047641357,Not Significant
ENSMUSG00000001119,-0.150954828733055,0.880943634751409,Not Significant
ENSMUSG00000001120,0.0081069290274931,0.996283070931198,Not Significant
ENSMUSG00000001123,-0.0525790615040779,0.972772595358091,Not Significant
ENSMUSG00000001127,0.127740931984161,0.38893627403298,Not Significant
ENSMUSG00000001128,0.0516704810858291,0.975435932583036,Not Significant
ENSMUSG00000001134,0.0573918509579248,0.944781679178853,Not Significant
ENSMUSG00000001138,0.0150686069392547,0.980573715274155,Not Significant
ENSMUSG00000001143,0.0072376991606833,0.994301786063074,Not Significant
ENSMUSG00000001150,-0.170404036100478,0.544479882443475,Not Significant
ENSMUSG00000001151,-0.143872055459678,0.736412536378977,Not Significant
ENSMUSG00000001155,1.21196078391112,0.831536485519808,Not Significant
ENSMUSG00000001156,0.228376161742887,0.277230939459,Not Significant
ENSMUSG00000001157,0.15455771698072,0.858963109900865,Not Significant
ENSMUSG00000001158,-0.0097197360486795,0.99063441334548,Not Significant
ENSMUSG00000001173,-0.201120372113215,0.759874874082088,Not Significant
ENSMUSG00000001175,-0.118206100254662,0.896275048733385,Not Significant
ENSMUSG00000001211,-0.0983010035803031,0.789365187225664,Not Significant
ENSMUSG00000001227,-0.263440053073582,0.59775371045186,Not Significant
ENSMUSG00000001229,-0.0742101487741426,0.857779903552692,Not Significant
ENSMUSG00000001240,0.0684374123862535,0.948764348832047,Not Significant
ENSMUSG00000001248,0.0679894710724014,0.948764348832047,Not Significant
ENSMUSG00000001249,0.39105846714305,0.161509011725332,Not Significant
ENSMUSG00000001270,-0.058906275438215,0.954307926730781,Not Significant
ENSMUSG00000001280,0.0503664898007534,0.921262769415687,Not Significant
ENSMUSG00000001281,0.116738132133858,0.939642250011082,Not Significant
ENSMUSG00000001285,0.136149995126086,0.831946257174669,Not Significant
ENSMUSG00000001288,0.107109081285949,0.927023533560427,Not Significant
ENSMUSG00000001289,-0.0134026838710791,0.98269504294537,Not Significant
ENSMUSG00000001300,-0.054519480498495,0.974192094076175,Not Significant
ENSMUSG00000001305,-0.0260680762070613,0.980712466838265,Not Significant
ENSMUSG00000001313,0.0035988808884012,0.999356808954117,Not Significant
ENSMUSG00000001323,-0.112754003244661,0.740388370716891,Not Significant
ENSMUSG00000001333,-0.318916540288596,0.0001080309406031,Significant
ENSMUSG00000001334,-0.135051587136832,0.961364996288099,Not Significant
ENSMUSG00000001348,1.21698189721723,0.0672710125856089,Not Significant
ENSMUSG00000001349,0.463181019675739,0.895908357153716,Not Significant
ENSMUSG00000001366,-0.09043696729511,0.857312820369446,Not Significant
ENSMUSG00000001376,0.0715356979699341,0.918995816255132,Not Significant
ENSMUSG00000001380,0.0706309865722112,0.87079131859378,Not Significant
ENSMUSG00000001383,0.0289090862647238,0.962995564328824,Not Significant
ENSMUSG00000001403,0.0567352560799178,0.97416241644509,Not Significant
ENSMUSG00000001415,0.0073661964352347,0.992284945183623,Not Significant
ENSMUSG00000001416,-0.0581839008371952,0.869190142472141,Not Significant
ENSMUSG00000001418,0.111071437397372,0.826603918789023,Not Significant
ENSMUSG00000001419,-0.042406295827129,0.904737711721931,Not Significant
ENSMUSG00000001420,0.112327739989601,0.961364996288099,Not Significant
ENSMUSG00000001424,0.0795376679144108,0.831536485519808,Not Significant
ENSMUSG00000001435,0.187037571589779,0.872393481678998,Not Significant
ENSMUSG00000001436,0.117620389555493,0.868494123130044,Not Significant
ENSMUSG00000001440,-0.116657509261818,0.285354555289887,Not Significant
ENSMUSG00000001441,-0.0166275337930915,0.981962152267626,Not Significant
ENSMUSG00000001444,0.265671834513444,0.855057539579178,Not Significant
ENSMUSG00000001445,-0.126233383649857,0.505910859515835,Not Significant
ENSMUSG00000001467,-0.279280647206981,0.425837521148039,Not Significant
ENSMUSG00000001472,0.0190585913493738,0.980712466838265,Not Significant
ENSMUSG00000001473,-0.0557152146674184,0.966999037714014,Not Significant
ENSMUSG00000001482,0.0076655797213803,0.993172972346216,Not Significant
ENSMUSG00000001493,0.143629494868076,0.898300088294453,Not Significant
ENSMUSG00000001506,-1.30712787629297,0.0819446120640328,Not Significant
ENSMUSG00000001507,-0.163250124832352,0.633797214561319,Not Significant
ENSMUSG00000001508,0.0459867297250383,0.944125581342209,Not Significant
ENSMUSG00000001518,0.0045429573548667,0.996116197129586,Not Significant
ENSMUSG00000001520,-0.0215931096244979,0.994749606199476,Not Significant
ENSMUSG00000001521,0.143399565305824,0.810226670186672,Not Significant
ENSMUSG00000001524,-0.0550012624468229,0.955521219391917,Not Significant
ENSMUSG00000001525,0.0018028091204504,0.998709717183156,Not Significant
ENSMUSG00000001542,-0.288194193898304,0.648344702693305,Not Significant
ENSMUSG00000001552,-0.254024873874941,0.117791643749791,Not Significant
ENSMUSG00000001555,-0.112544152532061,0.947051275779885,Not Significant
ENSMUSG00000001569,-0.0930197050731491,0.901196301208263,Not Significant
ENSMUSG00000001576,-0.0857510397326828,0.627886476566158,Not Significant
ENSMUSG00000001604,0.0009356473189895,0.999608881701978,Not Significant
ENSMUSG00000001627,-0.198651984765312,0.674044174979321,Not Significant
ENSMUSG00000001630,-0.0755489265572843,0.876250785951522,Not Significant
ENSMUSG00000001632,0.0537319705043647,0.921318431813859,Not Significant
ENSMUSG00000001642,-0.055709599141815,0.924382659538218,Not Significant
ENSMUSG00000001656,-0.414955037221768,0.0113384979209421,Significant
ENSMUSG00000001657,-0.144396518326935,0.932993562073794,Not Significant
ENSMUSG00000001661,0.0483825080675771,0.971358484308558,Not Significant
ENSMUSG00000001663,0.179150870979143,0.897048043838802,Not Significant
ENSMUSG00000001665,-0.148560899953058,0.925844348061129,Not Significant
ENSMUSG00000001666,-0.166134268200804,0.838861315886045,Not Significant
ENSMUSG00000001674,0.0368517180725998,0.951859536681253,Not Significant
ENSMUSG00000001687,-0.0800766539994789,0.909735809261132,Not Significant
ENSMUSG00000001700,-0.105946741878547,0.854465188920301,Not Significant
ENSMUSG00000001707,-0.0415372152513579,0.966519151938082,Not Significant
ENSMUSG00000001729,-0.0089625190227689,0.99205276419467,Not Significant
ENSMUSG00000001739,0.475804783361224,0.394388682516846,Not Significant
ENSMUSG00000001741,0.222601308215315,0.893932002091499,Not Significant
ENSMUSG00000001750,0.236312134420912,0.804243850512057,Not Significant
ENSMUSG00000001751,0.0528964378502636,0.961035558852827,Not Significant
ENSMUSG00000001755,-0.076069890398644,0.944007578957105,Not Significant
ENSMUSG00000001761,0.163918244303542,0.800230334914502,Not Significant
ENSMUSG00000001763,-0.0800428300803766,0.961364996288099,Not Significant
ENSMUSG00000001767,0.0190466342543102,0.972772595358091,Not Significant
ENSMUSG00000001768,-0.0224535239236621,0.98923481303043,Not Significant
ENSMUSG00000001774,-0.180644322058989,0.546192374522549,Not Significant
ENSMUSG00000001783,0.0855733509833367,0.765467788863507,Not Significant
ENSMUSG00000001785,0.119705424382565,0.691076487655376,Not Significant
ENSMUSG00000001786,0.0080713966906439,0.993703104555722,Not Significant
ENSMUSG00000001794,-0.0236183016992923,0.974082394946399,Not Significant
ENSMUSG00000001802,-0.0444144077671872,0.966519151938082,Not Significant
ENSMUSG00000001829,-0.0889865514336053,0.909174794313024,Not Significant
ENSMUSG00000001833,-0.0113769364037056,0.98269504294537,Not Significant
ENSMUSG00000001844,0.0062713555637337,0.996116197129586,Not Significant
ENSMUSG00000001847,0.0484280429230852,0.906626119048259,Not Significant
ENSMUSG00000001855,0.0105791636075308,0.993172972346216,Not Significant
ENSMUSG00000001864,0.169463701669286,0.901411234815476,Not Significant
ENSMUSG00000001865,-0.102649965712632,0.944125581342209,Not Significant
ENSMUSG00000001870,-0.127698196374161,0.833663114110916,Not Significant
ENSMUSG00000001891,0.0856434703752056,0.898586736582499,Not Significant
ENSMUSG00000001909,0.178593578260212,0.487967798259906,Not Significant
ENSMUSG00000001910,-0.232918618707582,0.0087482315211523,Significant
ENSMUSG00000001911,-0.0632192176654477,0.87699215968178,Not Significant
ENSMUSG00000001918,0.610829271344556,0.0651055529478016,Not Significant
ENSMUSG00000001924,-0.0547680105659717,0.87079131859378,Not Significant
ENSMUSG00000001930,0.312007163791795,0.483547626607436,Not Significant
ENSMUSG00000001942,0.0168758062828576,0.991655045589007,Not Significant
ENSMUSG00000001943,0.390295161949377,0.804243850512057,Not Significant
ENSMUSG00000001946,0.0556928514083991,0.964183844520286,Not Significant
ENSMUSG00000001948,0.0815012891663399,0.952849466828948,Not Significant
ENSMUSG00000001962,0.175804182664499,0.407379168116328,Not Significant
