ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000000001,-0.1779968957720337,0.5435543546275379,1.0,Not Significant
ENSMUSG00000000028,-0.14216943887389744,0.6087067613732966,1.0,Not Significant
ENSMUSG00000000031,-0.9306544419321456,0.851759198935136,1.0,Not Significant
ENSMUSG00000000037,0.05053419897033248,0.496059827916972,1.0,Not Significant
ENSMUSG00000000049,0.18270408716130504,0.3952891489748296,1.0,Not Significant
ENSMUSG00000000056,-0.34673400320961534,0.03151869482272823,1.0,Not Significant
ENSMUSG00000000058,-0.39026913091166016,0.7059598297016132,1.0,Not Significant
ENSMUSG00000000078,0.10632922865330485,0.9059334022203733,1.0,Not Significant
ENSMUSG00000000085,-0.029193632202742403,0.9172742613236827,1.0,Not Significant
ENSMUSG00000000088,0.11439591281168848,0.7762236038556726,1.0,Not Significant
ENSMUSG00000000093,0.3527581807669513,0.4999232699838909,1.0,Not Significant
ENSMUSG00000000094,-0.19641901855223043,0.1136526862310056,1.0,Not Significant
ENSMUSG00000000120,-0.02354582336330946,0.9732184266860713,1.0,Not Significant
ENSMUSG00000000126,-0.35505193544414193,0.5964533282583988,1.0,Not Significant
ENSMUSG00000000127,-0.02301158281874205,0.9551156342510049,1.0,Not Significant
ENSMUSG00000000131,0.10222006174566012,0.6059586195779085,1.0,Not Significant
ENSMUSG00000000134,0.1249602048955829,0.3940543895279057,1.0,Not Significant
ENSMUSG00000000142,0.3573875447053565,0.41302085317965553,1.0,Not Significant
ENSMUSG00000000148,0.03356664323743397,0.8641490442075708,1.0,Not Significant
ENSMUSG00000000149,0.15809602839585501,0.04192637433353106,1.0,Not Significant
ENSMUSG00000000154,0.26746467188883827,0.46727343546149147,1.0,Not Significant
ENSMUSG00000000159,-0.09291402316523278,0.6541603307391033,1.0,Not Significant
ENSMUSG00000000167,-0.043239441917165555,0.7283920867723326,1.0,Not Significant
ENSMUSG00000000168,-0.5204812337671418,0.4430417478738723,1.0,Not Significant
ENSMUSG00000000171,0.009930580548123125,0.9548207048976601,1.0,Not Significant
ENSMUSG00000000183,-0.3323435482401066,0.5002119172124436,1.0,Not Significant
ENSMUSG00000000184,0.6616070754005072,0.6821082031430927,1.0,Not Significant
ENSMUSG00000000194,0.25606702702483375,0.268288436428895,1.0,Not Significant
ENSMUSG00000000197,0.8751045118989982,0.43160191882263066,1.0,Not Significant
ENSMUSG00000000204,0.05708530599253675,0.7838439438060193,1.0,Not Significant
ENSMUSG00000000214,2.979281085073964,0.4061297014933366,1.0,Not Significant
ENSMUSG00000000223,-0.27771968066167674,0.599567851193934,1.0,Not Significant
ENSMUSG00000000244,0.21669216740481467,0.18837696366995568,1.0,Not Significant
ENSMUSG00000000247,-0.014781910523279596,0.961486152517525,1.0,Not Significant
ENSMUSG00000000253,-0.1894571308463977,0.8946646670609402,1.0,Not Significant
ENSMUSG00000000266,0.040163174738375496,0.9498851225025013,1.0,Not Significant
ENSMUSG00000000275,0.2644533861947531,0.12273080592539837,1.0,Not Significant
ENSMUSG00000000276,0.15710629967627732,0.8419590399001549,1.0,Not Significant
ENSMUSG00000000278,0.13885997738186795,0.57060322229522,1.0,Not Significant
ENSMUSG00000000282,0.33576742552656347,0.14911286307913624,1.0,Not Significant
ENSMUSG00000000290,0.4296277170902081,0.2302576821025121,1.0,Not Significant
ENSMUSG00000000295,0.4653632229462099,0.5437592171003998,1.0,Not Significant
ENSMUSG00000000296,0.13708934030342146,0.7101298329937202,1.0,Not Significant
ENSMUSG00000000301,0.08348835231432972,0.7499593500345809,1.0,Not Significant
ENSMUSG00000000303,0.8063882127243689,0.044947288168050235,1.0,Not Significant
ENSMUSG00000000305,0.27911923254455073,0.5648440719683961,1.0,Not Significant
ENSMUSG00000000308,-0.10665572959981495,0.873151970348891,1.0,Not Significant
ENSMUSG00000000317,-0.20118324448288138,0.6949048756162605,1.0,Not Significant
ENSMUSG00000000318,0.02595380965536065,0.85029434979617,1.0,Not Significant
ENSMUSG00000000320,0.03064800252338129,0.9442360001508424,1.0,Not Significant
ENSMUSG00000000325,-0.15132827538059335,0.7651066190197295,1.0,Not Significant
ENSMUSG00000000326,0.20717892465843413,0.4912136555475973,1.0,Not Significant
ENSMUSG00000000339,0.3393012114273297,0.21362235750746333,1.0,Not Significant
ENSMUSG00000000340,-0.05200456663558484,0.8036884641605423,1.0,Not Significant
ENSMUSG00000000346,0.12645934993508412,0.24069938128846977,1.0,Not Significant
ENSMUSG00000000355,0.15287598154861604,0.40663782000977633,1.0,Not Significant
ENSMUSG00000000359,-0.024979738109494998,0.9389512275987069,1.0,Not Significant
ENSMUSG00000000365,0.04747522037922389,0.5789466306480698,1.0,Not Significant
ENSMUSG00000000374,-0.09683775771721326,0.8197796295018496,1.0,Not Significant
ENSMUSG00000000378,0.028794040560668588,0.879024201858331,1.0,Not Significant
ENSMUSG00000000384,0.24866471185066086,0.17003552196768523,1.0,Not Significant
ENSMUSG00000000385,-0.10916545944364664,0.4396569909932978,1.0,Not Significant
ENSMUSG00000000386,0.24154554405222695,0.35419176353750825,1.0,Not Significant
ENSMUSG00000000392,-0.18918172605235267,0.6023754967772312,1.0,Not Significant
ENSMUSG00000000399,0.06310078881168302,0.7179673963167421,1.0,Not Significant
ENSMUSG00000000402,0.5378041980369725,0.604339763591493,1.0,Not Significant
ENSMUSG00000000409,0.024889742124209135,0.8937148811355278,1.0,Not Significant
ENSMUSG00000000416,1.3913518971034344,0.44524530780597715,1.0,Not Significant
ENSMUSG00000000420,-0.12461585097498773,0.7300848020220121,1.0,Not Significant
ENSMUSG00000000435,-0.09628621183827882,0.7067040456018492,1.0,Not Significant
ENSMUSG00000000439,0.05816270268011525,0.82116547684059,1.0,Not Significant
ENSMUSG00000000440,-0.25444579177108295,0.5711614646668588,1.0,Not Significant
ENSMUSG00000000441,0.05252999735074937,0.8100970222295019,1.0,Not Significant
ENSMUSG00000000486,0.4579997504197322,0.008152178875814858,1.0,Not Significant
ENSMUSG00000000489,0.23071205220127133,0.8496378167962085,1.0,Not Significant
ENSMUSG00000000530,0.17456312282877073,0.7420167083818971,1.0,Not Significant
ENSMUSG00000000531,0.35405788932905624,0.5786231363855601,1.0,Not Significant
