ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000019932,-1.48647724631742,0.0382046743923416,Down-regulated
ENSMUSG00000020641,-1.3150206037173,0.0146025365755044,Down-regulated
ENSMUSG00000022602,1.16126871700876,0.0469859455879377,Up-regulated
ENSMUSG00000022878,1.46694920306345,0.0082915451265304,Up-regulated
ENSMUSG00000024972,1.44381432931016,0.0007948064340434,Up-regulated
ENSMUSG00000026064,1.16246807196447,0.0034675775227884,Up-regulated
ENSMUSG00000026077,-1.83448174713977,7.39782203548608e-06,Down-regulated
ENSMUSG00000028680,1.15613382826962,0.0428532865717413,Up-regulated
ENSMUSG00000028957,1.34869304297514,1.38363796360591e-09,Up-regulated
ENSMUSG00000029205,-1.35111774433798,0.0224431445367679,Down-regulated
ENSMUSG00000030278,1.2975000734509,0.0247204647543457,Up-regulated
ENSMUSG00000030495,1.64325542510422,0.0149704396878868,Up-regulated
ENSMUSG00000030546,1.2251922401726,0.0230060828093834,Up-regulated
ENSMUSG00000031762,-1.37609608566221,0.0005986521829831,Down-regulated
ENSMUSG00000031765,-1.13595696881957,0.0003547820246473,Down-regulated
ENSMUSG00000037379,-1.26221034712317,0.0098820346698891,Down-regulated
ENSMUSG00000038216,-1.31768183848789,0.0039031285050748,Down-regulated
ENSMUSG00000038550,1.47888068992497,0.0012715538807866,Up-regulated
ENSMUSG00000045114,2.03043299776104,0.0071485389961222,Up-regulated
ENSMUSG00000045246,-1.24252593675636,9.11010936680648e-07,Down-regulated
ENSMUSG00000046223,1.28632943692535,0.0013371293646381,Up-regulated
ENSMUSG00000046828,-1.37008039617805,2.27982345728124e-08,Down-regulated
ENSMUSG00000048852,-1.60149740732047,1.19397752504895e-06,Down-regulated
ENSMUSG00000051726,-1.22826367898523,0.0067392987838683,Down-regulated
ENSMUSG00000053963,1.32928206954853,9.40718514067065e-05,Up-regulated
ENSMUSG00000055866,1.52919830635733,6.10917956100318e-08,Up-regulated
ENSMUSG00000059201,1.8246456222994,0.0228897808632844,Up-regulated
ENSMUSG00000059824,1.67680657419588,0.0007483627696775,Up-regulated
ENSMUSG00000068114,-1.05074384701902,4.7982939256654205e-09,Down-regulated
ENSMUSG00000073535,1.74150500063962,0.0230060828093834,Up-regulated
ENSMUSG00000076431,-1.26705523674556,1.09948776699153e-06,Down-regulated
ENSMUSG00000090698,1.11005333021907,0.0019961517303242,Up-regulated
ENSMUSG00000094958,1.07298796126295,0.0001275043936763,Up-regulated
ENSMUSG00000110496,1.53146648914188,0.0078176684612511,Up-regulated
